metric,value
properties_tested,4.0
zestimate_returned_count,4.0
rent_zestimate_returned_count,4.0
comps_returned_count,4.0
seller_listing_price_key_input_count,4.0
median_gross_rent_yield,0.0577
median_price_to_zestimate_pct,0.0086
