metric,value
properties_tested,10.0
outside_target_radius_count,0.0
status_conflict_count,0.0
sale_outcome_needs_validation_count,10.0
sale_date_available_count,0.0
final_sale_price_confirmed_count,0.0
median_sold_search_price,1263500.0
median_sold_price_per_sqft,526.15
median_distance_from_02131_miles,7.89
